station,metar,datetime_scraped
SPQU,SPQU 101700Z 27006KT 220V320 CAVOK 24/M01 Q1026 NOSIG RMK PP000=,2025-05-10 17:33:42.184007
SPQU,SPQU 120100Z 08006KT CAVOK 16/03 Q1029 RMK PP000=,2025-05-12 01:23:32.474476
SPJC,SPJC 120100Z 18006KT 9999 FEW005 BKN009 18/15 Q1013 BECMG SCT009 RMK PP000=,2025-05-12 01:23:32.474476
SPRU,SPRU 120100Z 14009KT 8000 FEW080 18/16 Q1012 RMK PP000=,2025-05-12 01:23:32.474476
SPZO,SPZO 120100Z 06006KT 020V150 9999 NSC 12/03 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 01:23:32.474476
SPQU,SPQU 120100Z 08006KT CAVOK 16/03 Q1029 RMK PP000=,2025-05-12 01:53:33.362448
SPJC,SPJC 120100Z 18006KT 9999 FEW005 BKN009 18/15 Q1013 BECMG SCT009 RMK PP000=,2025-05-12 01:53:33.362448
SPRU,SPRU 120100Z 14009KT 8000 FEW080 18/16 Q1012 RMK PP000=,2025-05-12 01:53:33.362448
SPZO,SPZO 120100Z 06006KT 020V150 9999 NSC 12/03 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 01:53:33.362448
SPZO,SPZO 120130Z VRB02KT 9999 NSC 11/03 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 01:53:33.362448
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000=,2025-05-12 02:23:34.324009
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000=,2025-05-12 02:23:34.324009
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000=,2025-05-12 02:23:34.324009
SPZO,SPZO 120200Z 10004KT 9999 NSC 10/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 02:23:34.324009
SPQU,SPQU 120200Z VRB02KT CAVOK 18/02 Q1029 RMK PP000=,2025-05-12 02:53:35.216292
SPJC,SPJC 120200Z 16009KT 9999 SCT010 SCT015 18/16 Q1014 NOSIG RMK PP000=,2025-05-12 02:53:35.216292
SPRU,SPRU 120200Z 14006KT 8000 NSC 18/16 Q1013 RMK PP000=,2025-05-12 02:53:35.216292
SPZO,SPZO 120200Z 10004KT 9999 NSC 10/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 02:53:35.216292
SPZO,SPZO 120230Z VRB02KT 9999 NSC 11/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 02:53:35.216292
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000=,2025-05-12 03:23:36.144659
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000=,2025-05-12 03:23:36.144659
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000=,2025-05-12 03:23:36.144659
SPZO,SPZO 120300Z 27004KT 9999 NSC 09/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 03:23:36.144659
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000=,2025-05-12 03:53:37.042258
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000=,2025-05-12 03:53:37.042258
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000=,2025-05-12 03:53:37.042258
SPZO,SPZO 120300Z 27004KT 9999 NSC 09/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 03:53:37.042258
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 03:53:37.042258
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000=,2025-05-12 04:23:37.935554
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000=,2025-05-12 04:23:37.935554
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000=,2025-05-12 04:23:37.935554
SPZO,SPZO 120400Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 04:23:37.935554
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000=,2025-05-12 04:53:38.836002
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000=,2025-05-12 04:53:38.836002
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000=,2025-05-12 04:53:38.836002
SPZO,SPZO 120400Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 04:53:38.836002
SPZO,SPZO 120430Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 04:53:38.836002
SPQU,SPQU 120500Z VRB02KT CAVOK 14/M02 Q1028 RMK PP000=,2025-05-12 05:23:39.771482
SPJC,SPJC 120500Z 17006KT 9999 FEW030 18/16 Q1013 NOSIG RMK PP000=,2025-05-12 05:23:39.771482
SPRU,SPRU 120500Z 15004KT 5000 BR NSC 17/16 Q1013 RMK PP000=,2025-05-12 05:23:39.771482
SPZO,SPZO 120500Z VRB02KT 9999 SCT050 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 05:23:39.771482
SPQU,SPQU 120500Z VRB02KT CAVOK 14/M02 Q1028 RMK PP000=,2025-05-12 05:53:41.475658
SPJC,SPJC 120500Z 17006KT 9999 FEW030 18/16 Q1013 NOSIG RMK PP000=,2025-05-12 05:53:41.475658
SPRU,SPRU 120500Z 15004KT 5000 BR NSC 17/16 Q1013 RMK PP000=,2025-05-12 05:53:41.475658
SPZO,SPZO 120500Z VRB02KT 9999 SCT050 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 05:53:41.475658
SPZO,SPZO 120530Z 09004KT 9999 SCT050 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 05:53:41.475658
SPQU,SPQU 120600Z 02003KT CAVOK 15/M01 Q1028 RMK PP000=,2025-05-12 06:23:42.368651
SPJC,SPJC 120600Z 18008KT 9999 FEW015 SCT025 18/15 Q1013 NOSIG RMK PP000=,2025-05-12 06:23:42.368651
SPRU,SPRU 120600Z 12004KT 5000 BR NSC 17/16 Q1013 RMK PP000=,2025-05-12 06:23:42.368651
SPZO,SPZO 120600Z VRB02KT 9999 SCT100 07/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 06:23:42.368651
SPQU,SPQU 120600Z 02003KT CAVOK 15/M01 Q1028 RMK PP000=,2025-05-12 06:53:43.267504
SPJC,SPJC 120600Z 18008KT 9999 FEW015 SCT025 18/15 Q1013 NOSIG RMK PP000=,2025-05-12 06:53:43.267504
SPRU,SPRU 120600Z 12004KT 5000 BR NSC 17/16 Q1013 RMK PP000=,2025-05-12 06:53:43.267504
SPZO,SPZO 120600Z VRB02KT 9999 SCT100 07/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 06:53:43.267504
SPQU,SPQU 120700Z VRB02KT CAVOK 14/M01 Q1028 RMK PP000=,2025-05-12 07:23:44.180310
