station,datetime,wind_dir,wind_speed,visibility,clouds,phenomena,intensity_prefix
SPQU,2025-05-10 17:33:42.184007,270,6,,,,
SPQU,2025-05-12 01:23:32.474476,080,6,,,,
SPJC,2025-05-12 01:23:32.474476,180,6,9999.0,FEW005;BKN009;SCT009,,
SPRU,2025-05-12 01:23:32.474476,140,9,8000.0,FEW080,,
SPZO,2025-05-12 01:23:32.474476,060,6,9999.0,,,
SPQU,2025-05-12 01:53:33.362448,080,6,,,,
SPJC,2025-05-12 01:53:33.362448,180,6,9999.0,FEW005;BKN009;SCT009,,
SPRU,2025-05-12 01:53:33.362448,140,9,8000.0,FEW080,,
SPZO,2025-05-12 01:53:33.362448,060,6,9999.0,,,
SPZO,2025-05-12 01:53:33.362448,VRB,2,9999.0,,,
SPQU,2025-05-12 02:23:34.324009,VRB,2,,,,
SPJC,2025-05-12 02:23:34.324009,160,9,9999.0,SCT010;SCT015,,
SPRU,2025-05-12 02:23:34.324009,140,6,8000.0,,,
SPZO,2025-05-12 02:23:34.324009,100,4,9999.0,,,
SPQU,2025-05-12 02:53:35.216292,VRB,2,,,,
SPJC,2025-05-12 02:53:35.216292,160,9,9999.0,SCT010;SCT015,,
SPRU,2025-05-12 02:53:35.216292,140,6,8000.0,,,
SPZO,2025-05-12 02:53:35.216292,100,4,9999.0,,,
SPZO,2025-05-12 02:53:35.216292,VRB,2,9999.0,,,
SPQU,2025-05-12 03:23:36.144659,030,5,9999.0,SCT120,,
SPJC,2025-05-12 03:23:36.144659,150,8,9999.0,SCT010,,
SPRU,2025-05-12 03:23:36.144659,140,5,6000.0,,,
SPZO,2025-05-12 03:23:36.144659,270,4,9999.0,,,
SPQU,2025-05-12 03:53:37.042258,030,5,9999.0,SCT120,,
SPJC,2025-05-12 03:53:37.042258,150,8,9999.0,SCT010,,
SPRU,2025-05-12 03:53:37.042258,140,5,6000.0,,,
SPZO,2025-05-12 03:53:37.042258,270,4,9999.0,,,
SPZO,2025-05-12 03:53:37.042258,280,5,9999.0,,,
SPQU,2025-05-12 04:23:37.935554,350,2,9999.0,FEW120,,
SPJC,2025-05-12 04:23:37.935554,170,6,8000.0,FEW010,,
SPRU,2025-05-12 04:23:37.935554,130,5,5000.0,,BR,
SPZO,2025-05-12 04:23:37.935554,VRB,2,9999.0,SCT050,,
SPQU,2025-05-12 04:53:38.836002,350,2,9999.0,FEW120,,
SPJC,2025-05-12 04:53:38.836002,170,6,8000.0,FEW010,,
SPRU,2025-05-12 04:53:38.836002,130,5,5000.0,,BR,
SPZO,2025-05-12 04:53:38.836002,VRB,2,9999.0,SCT050,,
SPZO,2025-05-12 04:53:38.836002,VRB,2,9999.0,SCT050,,
SPQU,2025-05-12 05:23:39.771482,VRB,2,,,,
SPJC,2025-05-12 05:23:39.771482,170,6,9999.0,FEW030,,
SPRU,2025-05-12 05:23:39.771482,150,4,5000.0,,BR,
SPZO,2025-05-12 05:23:39.771482,VRB,2,9999.0,SCT050,,
SPQU,2025-05-12 05:53:41.475658,VRB,2,,,,
SPJC,2025-05-12 05:53:41.475658,170,6,9999.0,FEW030,,
SPRU,2025-05-12 05:53:41.475658,150,4,5000.0,,BR,
SPZO,2025-05-12 05:53:41.475658,VRB,2,9999.0,SCT050,,
SPZO,2025-05-12 05:53:41.475658,090,4,9999.0,SCT050,,
SPQU,2025-05-12 06:23:42.368651,020,3,,,,
SPJC,2025-05-12 06:23:42.368651,180,8,9999.0,FEW015;SCT025,,
SPRU,2025-05-12 06:23:42.368651,120,4,5000.0,,BR,
SPZO,2025-05-12 06:23:42.368651,VRB,2,9999.0,SCT100,,
SPQU,2025-05-12 06:53:43.267504,020,3,,,,
SPJC,2025-05-12 06:53:43.267504,180,8,9999.0,FEW015;SCT025,,
SPRU,2025-05-12 06:53:43.267504,120,4,5000.0,,BR,
SPZO,2025-05-12 06:53:43.267504,VRB,2,9999.0,SCT100,,
SPQU,2025-05-12 07:23:44.180310,VRB,2,,,,
SPJC,2025-05-12 07:23:44.180310,180,8,8000.0,SCT006;BKN015;OVC009,,
SPRU,2025-05-12 07:23:44.180310,120,4,5000.0,,BR,
SPZO,2025-05-12 07:23:44.180310,090,2,9999.0,SCT100,,
SPQU,2025-05-12 07:53:45.058924,VRB,2,,,,
SPJC,2025-05-12 07:53:45.058924,180,8,8000.0,SCT006;BKN015;OVC009,,
SPRU,2025-05-12 07:53:45.058924,120,4,5000.0,,BR,
SPZO,2025-05-12 07:53:45.058924,090,2,9999.0,SCT100,,
SPQU,2025-05-12 08:23:46.029210,020,4,,,,
SPJC,2025-05-12 08:23:46.029210,160,6,8000.0,SCT006;BKN013,,
SPRU,2025-05-12 08:23:46.029210,120,5,5000.0,,BR,
SPZO,2025-05-12 08:23:46.029210,110,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-12 08:53:46.920522,020,4,,,,
SPJC,2025-05-12 08:53:46.920522,160,6,8000.0,SCT006;BKN013,,
SPRU,2025-05-12 08:53:46.920522,120,5,5000.0,,BR,
