station,datetime,temperature_2m,dew_point_2m,cloudcover,windspeed_10m,windgusts_10m,visibility,precipitation,pressure_msl
SPQU,2025-05-11T00:00,16.2,4.2,52,8.0,12.6,24140.0,0.0,1013.5
SPQU,2025-05-11T01:00,15.6,4.9,54,10.5,14.0,24140.0,0.0,1013.3
SPQU,2025-05-11T02:00,15.9,4.0,63,10.6,16.9,24140.0,0.0,1012.6
SPQU,2025-05-11T03:00,16.0,3.1,64,9.7,16.6,24140.0,0.0,1012.8
SPQU,2025-05-11T04:00,15.9,3.0,68,9.9,15.1,24140.0,0.0,1012.9
SPQU,2025-05-11T05:00,15.7,3.1,67,10.1,15.8,24140.0,0.0,1013.6
SPQU,2025-05-11T06:00,15.8,3.2,61,10.1,15.8,24140.0,0.0,1014.1
SPQU,2025-05-11T07:00,17.5,2.6,0,9.9,17.3,24140.0,0.0,1014.6
SPQU,2025-05-11T08:00,21.1,2.9,0,5.2,19.8,24140.0,0.0,1014.9
SPQU,2025-05-11T09:00,23.6,2.4,0,3.3,15.1,24140.0,0.0,1014.6
SPQU,2025-05-11T10:00,24.7,3.4,0,11.2,20.5,24140.0,0.0,1014.6
SPQU,2025-05-11T11:00,25.1,3.7,0,14.9,24.8,24140.0,0.0,1014.1
SPQU,2025-05-11T12:00,26.0,2.7,0,15.3,27.0,24140.0,0.0,1013.4
SPQU,2025-05-11T13:00,25.8,3.7,0,17.1,27.0,24140.0,0.0,1012.3
SPQU,2025-05-11T14:00,25.0,5.7,12,16.0,28.8,24140.0,0.0,1012.0
SPQU,2025-05-11T15:00,24.1,6.9,0,12.3,25.9,24140.0,0.0,1011.9
SPQU,2025-05-11T16:00,23.0,7.5,0,11.2,22.3,24140.0,0.0,1012.4
SPQU,2025-05-11T17:00,21.4,7.6,38,8.3,20.5,24140.0,0.0,1013.0
SPQU,2025-05-11T18:00,19.5,7.3,100,5.6,13.3,24140.0,0.0,1013.7
SPQU,2025-05-11T19:00,18.7,6.8,0,6.2,10.1,24140.0,0.0,1014.3
SPQU,2025-05-11T20:00,18.5,6.0,11,6.5,13.3,24140.0,0.0,1014.6
SPQU,2025-05-11T21:00,17.5,5.7,6,6.0,11.2,24140.0,0.0,1015.1
SPQU,2025-05-11T22:00,16.5,5.1,0,7.8,12.2,24140.0,0.0,1015.1
SPQU,2025-05-11T23:00,16.1,4.8,0,8.6,13.0,24140.0,0.0,1014.7
SPQU,2025-05-12T00:00,15.9,4.2,42,10.1,15.5,24140.0,0.0,1014.2
SPQU,2025-05-12T01:00,15.7,3.5,73,10.1,15.8,24140.0,0.0,1013.9
SPQU,2025-05-12T02:00,15.6,2.8,49,11.1,16.9,24140.0,0.0,1013.6
SPQU,2025-05-12T03:00,16.1,2.5,11,12.0,18.4,24140.0,0.0,1013.4
SPQU,2025-05-12T04:00,16.4,2.4,1,11.5,18.4,24140.0,0.0,1013.4
SPQU,2025-05-12T05:00,16.8,2.0,0,11.5,18.4,24140.0,0.0,1013.5
SPQU,2025-05-12T06:00,16.2,1.5,0,10.8,17.6,24140.0,0.0,1013.9
